Your Input	WormBase Gene ID	Public Name	Species	Biotype	Sequence Name	Other Name	Expr_pattern Tissue	Genomic Study Tissue	Gene Ontology Association
WBGene00007841	WBGene00007841	C31C9.7	Caenorhabditis elegans	protein_coding_gene	C31C9.7	CELE_C31C9.7	N.A.	ABarpaapap, ABarpaappa, ABarpaappp, ABarppaapa, ABarpppapa, ABplaapppa, ABplaapppp, ABplappppa, ABpraapppa, ABpraapppp, ABprappppa, anterior arcade cell, anterior hypodermis, Caaaaa, Caaaap, Caaapa, Caaapp, Caappd, Cpaaaa, Cpaaap, Cpaapa, Cpaapp, Cpapaa, Cpapap, Cpappd, dorsal uterine cell, gon_male_dtc anterior, gon_male_dtc posterior, hyp12, hyp2, hypodermis, ILshDL, intestine, neuron, OLQshDL, somatic gonad precursor, ventral cord blast cell, Z1, Z1.p, Z4, Z4.a	N.A.
WBGene00007842	WBGene00007842	C31E10.1	Caenorhabditis elegans	pseudogene	C31E10.1	CELE_C31E10.1	N.A.	head mesodermal cell, neuron	N.A.
WBGene00007843	WBGene00007843	C31E10.2	Caenorhabditis elegans	transposable_element_gene	C31E10.2	N.A.	N.A.	N.A.	N.A.
WBGene00007844	WBGene00007844	irld-24	Caenorhabditis elegans	protein_coding_gene	C31E10.3	CELE_C31E10.3	N.A.	AIAL, ASJR, AWBL, neuron, SMBDL, SMBDR, SMBVL, SMBVR	N.A.
WBGene00007846	WBGene00007846	C31E10.5	Caenorhabditis elegans	protein_coding_gene	C31E10.5	CELE_C31E10.5	N.A.	body wall muscle cell, GABAergic neuron, germ line, GLR, neuron, oocyte, Q cell	"Golgi to plasma membrane transport"
WBGene00007847	WBGene00007847	C31E10.6	Caenorhabditis elegans	protein_coding_gene	C31E10.6	CELE_C31E10.6	N.A.	anchor cell, body wall muscle cell, coelomocyte, GABAergic neuron, GLR, intestine, oocyte, Q cell, sensory neuron	"Golgi to plasma membrane transport", "membrane"
WBGene00007848	WBGene00007848	cytb-5.1	Caenorhabditis elegans	protein_coding_gene	C31E10.7	cytochrome b5, CELE_C31E10.7	intestine	ABplpppppp, ABprpppppp, anchor cell, ASER, germ line, intestine, sensory neuron, Y cell	"endoplasmic reticulum membrane", "endoplasmic reticulum", "heme binding", "intracellular membrane-bounded organelle", "membrane", "metal ion binding", "perinuclear region of cytoplasm"
WBGene00007849	WBGene00007849	tbc-19	Caenorhabditis elegans	protein_coding_gene	C31E10.8	CELE_C31E10.8	N.A.	ABplapappp, ABplapapppp, ABplapppapp, ABprapappp, ABprapapppp, ABprapppapp, amphid sheath cell, AMshL, AS11, AS2, AS3, DA neuron, dopaminergic neuron, dorsal-rectal ganglion neuron, excretory gland cell, g1AL, g1AR, g1P, g2L, GABAergic neuron, GLR, I5 neuron, mc3, neuron, PDB, Pharyngeal gland cell, phasmid sheath cell, retrovesicular ganglion, SAB, sensory neuron, VA neuron, VA1, VA12, VD neuron	"centrosome", "cytoplasm", "GTPase activator activity", "plasma membrane"
WBGene00007850	WBGene00007850	C31G12.1	Caenorhabditis elegans	protein_coding_gene	C31G12.1	CELE_C31G12.1	N.A.	germ line, pharyngeal muscle cell, tail precursor cell	"membrane"
WBGene00007851	WBGene00007851	clec-245	Caenorhabditis elegans	protein_coding_gene	C31G12.2	CELE_C31G12.2	N.A.	anterior hypodermis, hyp2, hypodermis	N.A.
WBGene00007852	WBGene00007852	C31G12.3	Caenorhabditis elegans	protein_coding_gene	C31G12.3	CELE_C31G12.3	N.A.	N.A.	N.A.
WBGene00007853	WBGene00007853	C31G12.4	Caenorhabditis elegans	protein_coding_gene	C31G12.4	CELE_C31G12.4	N.A.	arcade cell, g1AL, g1AR, g1P, g2L, g2R, germ line, pm6	N.A.
WBGene00007854	WBGene00007854	C31H5.1	Caenorhabditis elegans	protein_coding_gene	C31H5.1	CELE_C31H5.1	N.A.	ALNL, ALNR, amphid sheath cell, AMshL, AMshR, intestine, muscle cell	"hydrolase activity"
WBGene00007855	WBGene00007855	C31H5.4	Caenorhabditis elegans	protein_coding_gene	C31H5.4	CELE_C31H5.4	N.A.	ABplpppaaa, ABprpppaaa, AFD, ASER, DA neuron, dopaminergic neuron, hypodermis, intestine, muscle cell, neuron, OLL, oocyte, PLM, PVD, sensory neuron, VA neuron, ventral nerve cord	N.A.
